symbol,log2FC,p_value_neg,p_value_pos,p_value_twosided
FKBP14,-3.539528487,0.000242505,0.999995699,0.002190592
FOXD2,-3.539580557,0.000252188,0.999994118,0.002273763
BCAS3,-3.539604608,0.000240675,0.999995977,0.002174844
PCLO,-3.539639126,0.000242532,0.999995718,0.002190823
STRAP,-3.539655447,0.000241672,0.999995823,0.002183423
ALK,-3.539659240,0.000245847,0.999995122,0.002219314
RNF2,-3.539686340,0.000246178,0.999995179,0.002222161
MAPRE1,-3.539731949,0.000255249,0.999993792,0.002300017
ARPC5,-3.540052711,0.000239216,0.999996156,0.002162293
TESK2,-3.540203834,0.000241320,0.999995841,0.002180393
C19orf54,-3.540409644,0.000243034,0.999995608,0.002195136
AVIL,-3.540439517,0.000243170,0.999995586,0.002196305
ST14,-3.540443765,0.000247134,0.999994953,0.002230374
MUL1,-3.540610278,0.000239362,0.999996114,0.002163550
SRM,-3.540621058,0.000240011,0.999996023,0.002169131
MZT2B,-3.540683602,0.000244055,0.999995361,0.002203913
ECHDC1,-3.540690479,0.000239117,0.999996150,0.002161439
DYX1C1,-3.540793352,0.000238984,0.999996162,0.002160293
PIK3R6,-3.540917905,0.000240284,0.999995974,0.002171485
ZNF510,-3.540921034,0.000242823,0.999995591,0.002193323
HLTF,-3.540930095,0.000240016,0.999996015,0.002169180
GOLGA8M,-3.541035239,0.000287360,0.999986723,0.002574383
UBXN1,-3.541098249,0.000240141,0.999995989,0.002170250
C17orf75,-3.541196044,0.000246752,0.999994907,0.002227089
NHLRC2,-3.541472848,0.000237906,0.999996289,0.002151019
CD59,-3.541537760,0.000242240,0.999995698,0.002188306
RSBN1L,-3.541560715,0.000246891,0.999994970,0.002228283
CDHR3,-3.541620164,0.000239258,0.999996098,0.002162653
GCG,-3.541827428,0.000238428,0.999996202,0.002155513
IRF8,-3.541853537,0.000241810,0.999995720,0.002184615
FGD5,-3.541924840,0.000251269,0.999994263,0.002265875
TMPRSS12,-3.541939921,0.000238715,0.999996158,0.002157981
PLSCR3,-3.541977581,0.000268712,0.999991195,0.002415279
REXO4,-3.542006720,0.000237684,0.999996301,0.002149105
GGH,-3.542026817,0.000245263,0.999995190,0.002214300
KCNK16,-3.542092723,0.000238465,0.999996192,0.002155829
MYH7,-3.542116319,0.000238238,0.999996223,0.002153875
PRDM2,-3.542213699,0.000239444,0.999996055,0.002164254
A4GNT,-3.542248919,0.000239398,0.999996057,0.002163862
TMPPE,-3.542250180,0.000238837,0.999996133,0.002159029
